Time,uri,source,outer,mission,mission_name,shutter,human,human_fresh,human_stable,human_hold_s,human_confidence_pct,human_direction,human_max_temp_c,human_thermistor_c,flow_timestamp_ms,delta_x,delta_y,height_m,vel_x_mps,vel_y_mps,cmd_x_mps,cmd_y_mps,front_mm,left_mm,right_mm,back_mm,up_mm,vbat_v
2026-04-07T12:22:38.996,radio://0/80/2M,mission,0,0,Reacquire Wall,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,6.101330654928461e-05,0.0,0.0,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T12:22:38.999,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56197,0,0,6.101330654928461e-05,0.017413977533578873,-0.024870513007044792,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T12:22:39.001,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56197,0,0,6.101330654928461e-05,0.017413977533578873,-0.024870513007044792,0.0,0.0,277,32766,268,401,2916,3.890322685241699
2026-04-07T12:22:39.246,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56197,0,0,0.00010094339086208493,0.017413977533578873,-0.024870513007044792,0.0,0.0,277,32766,268,401,2916,3.890322685241699
2026-04-07T12:22:39.249,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56447,0,0,0.00010094339086208493,0.022963766008615494,-0.03009677119553089,0.0,0.0,277,32766,268,401,2916,3.890322685241699
2026-04-07T12:22:39.250,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56447,0,0,0.00010094339086208493,0.022963766008615494,-0.03009677119553089,0.0,0.0,280,295,270,402,2906,3.8850440979003906
2026-04-07T12:22:39.496,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56447,0,0,0.00013152623432688415,0.022963766008615494,-0.03009677119553089,0.0,0.0,280,295,270,402,2906,3.8850440979003906
2026-04-07T12:22:39.499,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56697,0,0,0.00013152623432688415,0.02847820147871971,-0.03633202984929085,0.0,0.0,280,295,270,402,2906,3.8850440979003906
2026-04-07T12:22:39.500,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56697,0,0,0.00013152623432688415,0.02847820147871971,-0.03633202984929085,0.0,0.0,280,299,269,32766,2914,3.890322685241699
2026-04-07T12:22:39.746,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56697,0,0,1.2139822501922026e-05,0.02847820147871971,-0.03633202984929085,0.0,0.0,280,299,269,32766,2914,3.890322685241699
2026-04-07T12:22:39.749,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56947,0,0,1.2139822501922026e-05,0.03518322482705116,-0.04068204015493393,0.0,0.0,280,299,269,32766,2914,3.890322685241699
2026-04-07T12:22:39.750,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56947,0,0,1.2139822501922026e-05,0.03518322482705116,-0.04068204015493393,0.0,0.0,281,32766,270,32766,2918,3.8850440979003906
2026-04-07T12:22:39.996,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,56947,0,0,6.209551065694541e-05,0.03518322482705116,-0.04068204015493393,0.0,0.0,281,32766,270,32766,2918,3.8850440979003906
2026-04-07T12:22:39.999,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,57197,0,0,6.209551065694541e-05,0.04225952923297882,-0.045961540192365646,0.0,0.0,281,32766,270,32766,2918,3.8850440979003906
2026-04-07T12:22:40.000,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,57197,0,0,6.209551065694541e-05,0.04225952923297882,-0.045961540192365646,0.0,0.0,282,299,273,32766,2918,3.890322685241699
2026-04-07T12:22:40.246,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,57197,0,0,5.5309024901362136e-05,0.04225952923297882,-0.045961540192365646,0.0,0.0,282,299,273,32766,2918,3.890322685241699
2026-04-07T12:22:40.248,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,57447,0,0,5.5309024901362136e-05,0.04897235706448555,-0.04980790242552757,0.0,0.0,282,299,273,32766,2918,3.890322685241699
