Time,uri,source,outer,mission,mission_name,shutter,human,human_fresh,human_stable,human_hold_s,human_confidence_pct,human_direction,human_max_temp_c,human_thermistor_c,flow_timestamp_ms,delta_x,delta_y,height_m,vel_x_mps,vel_y_mps,cmd_x_mps,cmd_y_mps,front_mm,left_mm,right_mm,back_mm,up_mm,vbat_v
2026-04-07T11:46:46.267,radio://0/80/2M,mission,0,0,Reacquire Wall,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T11:46:46.268,radio://0/80/2M,flow,0,0,Reacquire Wall,4427,0,0,0,0.0,0,0,0.0,0.0,6538,-1,-1,0.0,0.0,0.0,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T11:46:46.269,radio://0/80/2M,range,0,0,Reacquire Wall,4427,0,0,0,0.0,0,0,0.0,0.0,6538,-1,-1,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:46.517,radio://0/80/2M,mission,0,0,Reacquire Wall,4427,0,0,0,0.0,0,0,0.0,0.0,6538,-1,-1,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:46.518,radio://0/80/2M,flow,0,0,Reacquire Wall,4427,0,0,0,0.0,0,0,0.0,0.0,6788,1,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:46.519,radio://0/80/2M,range,0,0,Reacquire Wall,4427,0,0,0,0.0,0,0,0.0,0.0,6788,1,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:46.765,radio://0/80/2M,mission,0,0,Reacquire Wall,4427,0,0,0,0.0,0,0,0.0,0.0,6788,1,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:46.768,radio://0/80/2M,flow,0,0,Reacquire Wall,4427,0,0,0,0.0,0,0,0.0,0.0,7038,1,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:46.769,radio://0/80/2M,range,0,0,Reacquire Wall,4427,0,0,0,0.0,0,0,0.0,0.0,7038,1,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.015,radio://0/80/2M,mission,0,0,Reacquire Wall,4427,0,0,0,0.0,0,0,0.0,0.0,7038,1,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.018,radio://0/80/2M,flow,0,0,Reacquire Wall,4703,0,0,0,0.0,0,0,0.0,0.0,7288,-3,5,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.019,radio://0/80/2M,range,0,0,Reacquire Wall,4703,0,0,0,0.0,0,0,0.0,0.0,7288,-3,5,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.266,radio://0/80/2M,mission,0,0,Reacquire Wall,4703,0,0,0,0.0,0,0,0.0,0.0,7288,-3,5,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.267,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,7538,0,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.269,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,7538,0,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.515,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,7538,0,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.517,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,7788,0,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.518,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,7788,0,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.765,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,7788,0,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.768,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,8038,0,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.154252052307129
2026-04-07T11:46:47.769,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,8038,0,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.1595306396484375
2026-04-07T11:46:48.015,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,8038,0,0,0.0,0.0,0.0,0.0,0.0,32766,0,0,0,0,4.1595306396484375
