Time,uri,source,outer,mission,mission_name,height_m,human,human_fresh,human_stable,human_hold_s,human_confidence_pct,human_direction,human_max_temp_c,human_thermistor_c,flow_timestamp_ms,delta_x,delta_y,shutter,vel_x_mps,vel_y_mps,cmd_x_mps,cmd_y_mps,front_mm,left_mm,right_mm,back_mm,up_mm,vbat_v
2026-04-07T10:57:08.975,radio://0/80/2M,mission,0,0,Reacquire Wall,0.0002860839886125177,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T10:57:08.976,radio://0/80/2M,flow,0,0,Reacquire Wall,0.0002860839886125177,0,0,0,0.0,0,0,0.0,0.0,8325,0,-4,8191,0.005918830633163452,-0.0032751942053437233,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T10:57:08.977,radio://0/80/2M,range,0,0,Reacquire Wall,0.0002860839886125177,0,0,0,0.0,0,0,0.0,0.0,8325,0,-4,8191,0.005918830633163452,-0.0032751942053437233,0.0,0.0,224,32766,220,542,2939,3.790029287338257
2026-04-07T10:57:09.224,radio://0/80/2M,mission,0,0,Reacquire Wall,0.001180805847980082,0,0,0,0.0,0,0,0.0,0.0,8325,0,-4,8191,0.005918830633163452,-0.0032751942053437233,0.0,0.0,224,32766,220,542,2939,3.790029287338257
2026-04-07T10:57:09.225,radio://0/80/2M,flow,0,0,Reacquire Wall,0.001180805847980082,0,0,0,0.0,0,0,0.0,0.0,8575,0,0,8191,0.005647408310323954,-0.0017328988760709763,0.0,0.0,224,32766,220,542,2939,3.790029287338257
2026-04-07T10:57:09.226,radio://0/80/2M,range,0,0,Reacquire Wall,0.001180805847980082,0,0,0,0.0,0,0,0.0,0.0,8575,0,0,8191,0.005647408310323954,-0.0017328988760709763,0.0,0.0,223,32766,221,549,2932,3.800586462020874
2026-04-07T10:57:09.474,radio://0/80/2M,mission,0,0,Reacquire Wall,2.8557573386933655e-05,0,0,0,0.0,0,0,0.0,0.0,8575,0,0,8191,0.005647408310323954,-0.0017328988760709763,0.0,0.0,223,32766,221,549,2932,3.800586462020874
2026-04-07T10:57:09.476,radio://0/80/2M,flow,0,0,Reacquire Wall,2.8557573386933655e-05,0,0,0,0.0,0,0,0.0,0.0,8825,-1,3,8191,0.0011683646589517593,-0.0022342787124216557,0.0,0.0,223,32766,221,549,2932,3.800586462020874
2026-04-07T10:57:09.477,radio://0/80/2M,range,0,0,Reacquire Wall,2.8557573386933655e-05,0,0,0,0.0,0,0,0.0,0.0,8825,-1,3,8191,0.0011683646589517593,-0.0022342787124216557,0.0,0.0,227,32766,219,549,2940,3.790029287338257
2026-04-07T10:57:09.724,radio://0/80/2M,mission,0,0,Reacquire Wall,0.00027827074518427253,0,0,0,0.0,0,0,0.0,0.0,8825,-1,3,8191,0.0011683646589517593,-0.0022342787124216557,0.0,0.0,227,32766,219,549,2940,3.790029287338257
2026-04-07T10:57:09.725,radio://0/80/2M,flow,0,0,Reacquire Wall,0.00027827074518427253,0,0,0,0.0,0,0,0.0,0.0,9075,-1,-3,8191,-9.82380242930958e-06,-0.0032288413494825363,0.0,0.0,227,32766,219,549,2940,3.790029287338257
2026-04-07T10:57:09.726,radio://0/80/2M,range,0,0,Reacquire Wall,0.00027827074518427253,0,0,0,0.0,0,0,0.0,0.0,9075,-1,-3,8191,-9.82380242930958e-06,-0.0032288413494825363,0.0,0.0,226,32766,225,554,2935,3.800586462020874
