Time,uri,source,outer,mission,mission_name,shutter,human,human_fresh,human_stable,human_hold_s,human_confidence_pct,human_direction,human_max_temp_c,human_thermistor_c,flow_timestamp_ms,delta_x,delta_y,height_m,vel_x_mps,vel_y_mps,cmd_x_mps,cmd_y_mps,front_mm,left_mm,right_mm,back_mm,up_mm,vbat_v
2026-04-07T11:47:14.658,radio://0/80/2M,mission,0,0,Reacquire Wall,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.15911412239074707,0.0,0.0,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T11:47:14.661,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11808,0,0,0.15911412239074707,1.026286005973816,0.37262672185897827,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T11:47:14.663,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11808,0,0,0.15911412239074707,1.026286005973816,0.37262672185897827,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:14.909,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11808,0,0,0.16942177712917328,1.026286005973816,0.37262672185897827,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:14.910,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,12058,0,0,0.16942177712917328,1.0591539144515991,0.3858964741230011,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:14.913,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,12058,0,0,0.16942177712917328,1.0591539144515991,0.3858964741230011,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:15.158,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,12058,0,0,0.17974728345870972,1.0591539144515991,0.3858964741230011,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:15.161,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,12308,0,0,0.17974728345870972,1.091039776802063,0.3997632563114166,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:15.162,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,12308,0,0,0.17974728345870972,1.091039776802063,0.3997632563114166,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:15.408,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,12308,0,0,0.1929529905319214,1.091039776802063,0.3997632563114166,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:15.411,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,12558,0,0,0.1929529905319214,1.3568525314331055,0.427383154630661,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:15.412,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,12558,0,0,0.1929529905319214,1.3568525314331055,0.427383154630661,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:15.659,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,12558,0,0,0.31419456005096436,1.3568525314331055,0.427383154630661,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:15.660,radio://0/80/2M,flow,0,0,Reacquire Wall,3780,0,0,0,0.0,0,0,0.0,0.0,12808,-4,-5,0.31419456005096436,0.2325020134449005,0.264401376247406,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:15.662,radio://0/80/2M,range,0,0,Reacquire Wall,3780,0,0,0,0.0,0,0,0.0,0.0,12808,-4,-5,0.31419456005096436,0.2325020134449005,0.264401376247406,0.0,0.0,32766,0,0,0,0,4.143694877624512
2026-04-07T11:47:15.908,radio://0/80/2M,mission,0,0,Reacquire Wall,3780,0,0,0,0.0,0,0,0.0,0.0,12808,-4,-5,0.5016074776649475,0.2325020134449005,0.264401376247406,0.0,0.0,32766,0,0,0,0,4.143694877624512
