Time,uri,source,outer,mission,mission_name,shutter,human,human_fresh,human_stable,human_hold_s,human_confidence_pct,human_direction,human_max_temp_c,human_thermistor_c,flow_timestamp_ms,delta_x,delta_y,height_m,vel_x_mps,vel_y_mps,cmd_x_mps,cmd_y_mps,front_mm,left_mm,right_mm,back_mm,up_mm,vbat_v
2026-04-07T12:30:41.672,radio://0/80/2M,mission,0,0,Reacquire Wall,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,4.2812527681235224e-05,0.0,0.0,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T12:30:41.675,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11454,-4,2,4.2812527681235224e-05,-8.059861283982173e-05,0.003643890842795372,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T12:30:41.676,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11454,-4,2,4.2812527681235224e-05,-8.059861283982173e-05,0.003643890842795372,0.0,0.0,237,276,286,837,2911,4.11202335357666
2026-04-07T12:30:41.921,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11454,-4,2,7.611943146912381e-05,-8.059861283982173e-05,0.003643890842795372,0.0,0.0,237,276,286,837,2911,4.11202335357666
2026-04-07T12:30:41.925,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11704,1,0,7.611943146912381e-05,0.0013823257759213448,0.0005097175016999245,0.0,0.0,237,276,286,837,2911,4.11202335357666
2026-04-07T12:30:41.926,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11704,1,0,7.611943146912381e-05,0.0013823257759213448,0.0005097175016999245,0.0,0.0,234,274,281,830,2919,4.11202335357666
2026-04-07T12:30:42.171,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11704,1,0,0.00011107695172540843,0.0013823257759213448,0.0005097175016999245,0.0,0.0,234,274,281,830,2919,4.11202335357666
2026-04-07T12:30:42.175,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11954,2,0,0.00011107695172540843,-0.0009051253437064588,-0.0012401244603097439,0.0,0.0,234,274,281,830,2919,4.11202335357666
2026-04-07T12:30:42.176,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11954,2,0,0.00011107695172540843,-0.0009051253437064588,-0.0012401244603097439,0.0,0.0,234,32766,291,834,2921,4.117301940917969
2026-04-07T12:30:42.421,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,11954,2,0,6.632404256379232e-05,-0.0009051253437064588,-0.0012401244603097439,0.0,0.0,234,32766,291,834,2921,4.117301940917969
