Time,uri,source,outer,mission,mission_name,height_m,human,human_fresh,human_stable,human_hold_s,human_confidence_pct,human_direction,human_max_temp_c,human_thermistor_c,flow_timestamp_ms,delta_x,delta_y,shutter,vel_x_mps,vel_y_mps,cmd_x_mps,cmd_y_mps,front_mm,left_mm,right_mm,back_mm,up_mm,vbat_v
2026-04-07T10:05:51.124,radio://0/80/2M,mission,0,0,Reacquire Wall,9.700791270006448e-05,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T10:05:51.127,radio://0/80/2M,flow,0,0,Reacquire Wall,9.700791270006448e-05,0,0,0,0.0,0,0,0.0,0.0,9286,-9,0,8191,0.0019035044824704528,0.0015352381160482764,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T10:05:51.128,radio://0/80/2M,range,0,0,Reacquire Wall,9.700791270006448e-05,0,0,0,0.0,0,0,0.0,0.0,9286,-9,0,8191,0.0019035044824704528,0.0015352381160482764,0.0,0.0,210,32766,242,47,2939,4.11202335357666
2026-04-07T10:05:51.374,radio://0/80/2M,mission,0,0,Reacquire Wall,6.734104681527242e-05,0,0,0,0.0,0,0,0.0,0.0,9286,-9,0,8191,0.0019035044824704528,0.0015352381160482764,0.0,0.0,210,32766,242,47,2939,4.11202335357666
2026-04-07T10:05:51.377,radio://0/80/2M,flow,0,0,Reacquire Wall,6.734104681527242e-05,0,0,0,0.0,0,0,0.0,0.0,9536,0,-2,8191,0.003092758124694228,-0.003374107414856553,0.0,0.0,210,32766,242,47,2939,4.11202335357666
2026-04-07T10:05:51.378,radio://0/80/2M,range,0,0,Reacquire Wall,6.734104681527242e-05,0,0,0,0.0,0,0,0.0,0.0,9536,0,-2,8191,0.003092758124694228,-0.003374107414856553,0.0,0.0,208,32766,241,45,2936,4.096187591552734
2026-04-07T10:05:51.624,radio://0/80/2M,mission,0,0,Reacquire Wall,7.274368545040488e-05,0,0,0,0.0,0,0,0.0,0.0,9536,0,-2,8191,0.003092758124694228,-0.003374107414856553,0.0,0.0,208,32766,241,45,2936,4.096187591552734
2026-04-07T10:05:51.626,radio://0/80/2M,flow,0,0,Reacquire Wall,7.274368545040488e-05,0,0,0,0.0,0,0,0.0,0.0,9786,0,0,8191,-0.0003353180945850909,-0.011361505836248398,0.0,0.0,208,32766,241,45,2936,4.096187591552734
2026-04-07T10:05:51.628,radio://0/80/2M,range,0,0,Reacquire Wall,7.274368545040488e-05,0,0,0,0.0,0,0,0.0,0.0,9786,0,0,8191,-0.0003353180945850909,-0.011361505836248398,0.0,0.0,213,32766,238,42,2940,4.106744766235352
2026-04-07T10:05:51.874,radio://0/80/2M,mission,0,0,Reacquire Wall,0.00014161813305690885,0,0,0,0.0,0,0,0.0,0.0,9786,0,0,8191,-0.0003353180945850909,-0.011361505836248398,0.0,0.0,213,32766,238,42,2940,4.106744766235352
