Time,uri,source,outer,mission,mission_name,height_m,human,human_fresh,human_stable,human_hold_s,human_confidence_pct,human_direction,human_max_temp_c,human_thermistor_c,flow_timestamp_ms,delta_x,delta_y,shutter,vel_x_mps,vel_y_mps,cmd_x_mps,cmd_y_mps,front_mm,left_mm,right_mm,back_mm,up_mm,vbat_v
2026-04-07T10:24:35.119,radio://0/80/2M,mission,0,0,Reacquire Wall,1.8318412912776694e-05,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T10:24:35.123,radio://0/80/2M,flow,0,0,Reacquire Wall,1.8318412912776694e-05,0,0,0,0.0,0,0,0.0,0.0,13711,1,-3,6969,-0.002889682073146105,-0.0012633164878934622,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T10:24:35.124,radio://0/80/2M,range,0,0,Reacquire Wall,1.8318412912776694e-05,0,0,0,0.0,0,0,0.0,0.0,13711,1,-3,6969,-0.002889682073146105,-0.0012633164878934622,0.0,0.0,244,674,517,237,2924,4.011730194091797
2026-04-07T10:24:35.370,radio://0/80/2M,mission,0,0,Reacquire Wall,-9.769002645043656e-05,0,0,0,0.0,0,0,0.0,0.0,13711,1,-3,6969,-0.002889682073146105,-0.0012633164878934622,0.0,0.0,244,674,517,237,2924,4.011730194091797
2026-04-07T10:24:35.374,radio://0/80/2M,flow,0,0,Reacquire Wall,-9.769002645043656e-05,0,0,0,0.0,0,0,0.0,0.0,13961,0,2,6729,0.0007859863108024001,-0.002445546444505453,0.0,0.0,244,674,517,237,2924,4.011730194091797
2026-04-07T10:24:35.375,radio://0/80/2M,range,0,0,Reacquire Wall,-9.769002645043656e-05,0,0,0,0.0,0,0,0.0,0.0,13961,0,2,6729,0.0007859863108024001,-0.002445546444505453,0.0,0.0,246,674,519,236,2924,4.011730194091797
2026-04-07T10:24:35.619,radio://0/80/2M,mission,0,0,Reacquire Wall,-5.284879443934187e-05,0,0,0,0.0,0,0,0.0,0.0,13961,0,2,6729,0.0007859863108024001,-0.002445546444505453,0.0,0.0,246,674,519,236,2924,4.011730194091797
2026-04-07T10:24:35.623,radio://0/80/2M,flow,0,0,Reacquire Wall,-5.284879443934187e-05,0,0,0,0.0,0,0,0.0,0.0,14211,0,5,7363,0.0020513522904366255,-0.002856278093531728,0.0,0.0,246,674,519,236,2924,4.011730194091797
2026-04-07T10:24:35.624,radio://0/80/2M,range,0,0,Reacquire Wall,-5.284879443934187e-05,0,0,0,0.0,0,0,0.0,0.0,14211,0,5,7363,0.0020513522904366255,-0.002856278093531728,0.0,0.0,242,676,516,236,2928,4.011730194091797
2026-04-07T10:24:35.869,radio://0/80/2M,mission,0,0,Reacquire Wall,-1.6528410924365744e-05,0,0,0,0.0,0,0,0.0,0.0,14211,0,5,7363,0.0020513522904366255,-0.002856278093531728,0.0,0.0,242,676,516,236,2928,4.011730194091797
2026-04-07T10:24:35.873,radio://0/80/2M,flow,0,0,Reacquire Wall,-1.6528410924365744e-05,0,0,0,0.0,0,0,0.0,0.0,14461,3,0,7106,4.2949901398969814e-05,0.0005335446912795305,0.0,0.0,242,676,516,236,2928,4.011730194091797
2026-04-07T10:24:35.874,radio://0/80/2M,range,0,0,Reacquire Wall,-1.6528410924365744e-05,0,0,0,0.0,0,0,0.0,0.0,14461,3,0,7106,4.2949901398969814e-05,0.0005335446912795305,0.0,0.0,248,672,518,240,2923,4.0170087814331055
2026-04-07T10:24:36.119,radio://0/80/2M,mission,0,0,Reacquire Wall,4.044914021505974e-05,0,0,0,0.0,0,0,0.0,0.0,14461,3,0,7106,4.2949901398969814e-05,0.0005335446912795305,0.0,0.0,248,672,518,240,2923,4.0170087814331055
2026-04-07T10:24:36.122,radio://0/80/2M,flow,0,0,Reacquire Wall,4.044914021505974e-05,0,0,0,0.0,0,0,0.0,0.0,14711,0,3,7288,0.0023514670319855213,-0.002625579247251153,0.0,0.0,248,672,518,240,2923,4.0170087814331055
2026-04-07T10:24:36.124,radio://0/80/2M,range,0,0,Reacquire Wall,4.044914021505974e-05,0,0,0,0.0,0,0,0.0,0.0,14711,0,3,7288,0.0023514670319855213,-0.002625579247251153,0.0,0.0,241,676,514,237,2915,4.011730194091797
2026-04-07T10:24:36.369,radio://0/80/2M,mission,0,0,Reacquire Wall,-5.6197517551481724e-05,0,0,0,0.0,0,0,0.0,0.0,14711,0,3,7288,0.0023514670319855213,-0.002625579247251153,0.0,0.0,241,676,514,237,2915,4.011730194091797
2026-04-07T10:24:36.373,radio://0/80/2M,flow,0,0,Reacquire Wall,-5.6197517551481724e-05,0,0,0,0.0,0,0,0.0,0.0,14961,7,8,7035,0.0056719654239714146,0.006564050447195768,0.0,0.0,241,676,514,237,2915,4.011730194091797
2026-04-07T10:24:36.374,radio://0/80/2M,range,0,0,Reacquire Wall,-5.6197517551481724e-05,0,0,0,0.0,0,0,0.0,0.0,14961,7,8,7035,0.0056719654239714146,0.006564050447195768,0.0,0.0,245,677,515,238,2929,4.011730194091797
2026-04-07T10:24:36.619,radio://0/80/2M,mission,0,0,Reacquire Wall,-3.104819916188717e-05,0,0,0,0.0,0,0,0.0,0.0,14961,7,8,7035,0.0056719654239714146,0.006564050447195768,0.0,0.0,245,677,515,238,2929,4.011730194091797
2026-04-07T10:24:36.622,radio://0/80/2M,flow,0,0,Reacquire Wall,-3.104819916188717e-05,0,0,0,0.0,0,0,0.0,0.0,15211,-1,0,7218,0.00038142010453157127,-0.0039293174631893635,0.0,0.0,245,677,515,238,2929,4.011730194091797
2026-04-07T10:24:36.624,radio://0/80/2M,range,0,0,Reacquire Wall,-3.104819916188717e-05,0,0,0,0.0,0,0,0.0,0.0,15211,-1,0,7218,0.00038142010453157127,-0.0039293174631893635,0.0,0.0,242,677,516,242,2924,4.011730194091797
2026-04-07T10:24:36.869,radio://0/80/2M,mission,0,0,Reacquire Wall,8.031459401536267e-06,0,0,0,0.0,0,0,0.0,0.0,15211,-1,0,7218,0.00038142010453157127,-0.0039293174631893635,0.0,0.0,242,677,516,242,2924,4.011730194091797
2026-04-07T10:24:36.871,radio://0/80/2M,flow,0,0,Reacquire Wall,8.031459401536267e-06,0,0,0,0.0,0,0,0.0,0.0,15461,0,1,6992,0.0017526441952213645,-0.0033415844663977623,0.0,0.0,242,677,516,242,2924,4.011730194091797
2026-04-07T10:24:36.873,radio://0/80/2M,range,0,0,Reacquire Wall,8.031459401536267e-06,0,0,0,0.0,0,0,0.0,0.0,15461,0,1,6992,0.0017526441952213645,-0.0033415844663977623,0.0,0.0,245,675,514,233,2922,4.011730194091797
2026-04-07T10:24:37.118,radio://0/80/2M,mission,1,0,Reacquire Wall,0.0024096271954476833,0,0,0,0.0,0,0,0.0,0.0,15461,0,1,6992,0.0017526441952213645,-0.0033415844663977623,0.0,0.0,245,675,514,233,2922,4.011730194091797
2026-04-07T10:24:37.133,radio://0/80/2M,flow,1,0,Reacquire Wall,0.0024096271954476833,0,0,0,0.0,0,0,0.0,0.0,15711,9,0,6303,0.04340524598956108,-0.02820289321243763,-0.00025457071023993194,0.013322573155164719,245,675,514,233,2922,4.011730194091797
2026-04-07T10:24:37.133,radio://0/80/2M,range,1,0,Reacquire Wall,0.0024096271954476833,0,0,0,0.0,0,0,0.0,0.0,15711,9,0,6303,0.04340524598956108,-0.02820289321243763,-0.00025457071023993194,0.013322573155164719,238,673,543,241,2933,3.3096773624420166
2026-04-07T10:24:37.368,radio://0/80/2M,mission,1,0,Reacquire Wall,0.1671760380268097,0,0,0,0.0,0,0,0.0,0.0,15711,9,0,6303,0.04340524598956108,-0.02820289321243763,-0.00025457071023993194,0.013322573155164719,238,673,543,241,2933,3.3096773624420166
2026-04-07T10:24:37.373,radio://0/80/2M,flow,1,0,Reacquire Wall,0.1671760380268097,0,0,0,0.0,0,0,0.0,0.0,15961,-2,-1,2664,0.05935626104474068,0.04513436555862427,0.004397663753479719,0.0002858875086531043,238,673,543,241,2933,3.3096773624420166
2026-04-07T10:24:37.374,radio://0/80/2M,range,1,0,Reacquire Wall,0.1671760380268097,0,0,0,0.0,0,0,0.0,0.0,15961,-2,-1,2664,0.05935626104474068,0.04513436555862427,0.004397663753479719,0.0002858875086531043,1361,695,695,32766,2889,3.515542507171631
2026-04-07T10:24:37.619,radio://0/80/2M,mission,1,0,Reacquire Wall,0.371572345495224,0,0,0,0.0,0,0,0.0,0.0,15961,-2,-1,2664,0.05935626104474068,0.04513436555862427,0.004397663753479719,0.0002858875086531043,1361,695,695,32766,2889,3.515542507171631
2026-04-07T10:24:37.621,radio://0/80/2M,flow,1,0,Reacquire Wall,0.371572345495224,0,0,0,0.0,0,0,0.0,0.0,16211,1,8,2830,0.05478290095925331,-0.00011697030276991427,5.897566097701201e-07,4.483596427462544e-08,1361,695,695,32766,2889,3.515542507171631
2026-04-07T10:24:37.623,radio://0/80/2M,range,1,0,Reacquire Wall,0.371572345495224,0,0,0,0.0,0,0,0.0,0.0,16211,1,8,2830,0.05478290095925331,-0.00011697030276991427,5.897566097701201e-07,4.483596427462544e-08,1462,673,746,2649,2624,3.5577712059020996
2026-04-07T10:24:37.868,radio://0/80/2M,mission,1,0,Reacquire Wall,0.49156850576400757,0,0,0,0.0,0,0,0.0,0.0,16211,1,8,2830,0.05478290095925331,-0.00011697030276991427,5.897566097701201e-07,4.483596427462544e-08,1462,673,746,2649,2624,3.5577712059020996
2026-04-07T10:24:37.871,radio://0/80/2M,flow,1,0,Reacquire Wall,0.49156850576400757,0,0,0,0.0,0,0,0.0,0.0,16461,9,0,2830,0.026816247031092644,-0.018684599548578262,0.19984042644500732,6.012808306810058e-12,1462,673,746,2649,2624,3.5577712059020996
2026-04-07T10:24:37.872,radio://0/80/2M,range,1,0,Reacquire Wall,0.49156850576400757,0,0,0,0.0,0,0,0.0,0.0,16461,9,0,2830,0.026816247031092644,-0.018684599548578262,0.19984042644500732,6.012808306810058e-12,1475,655,775,2692,2493,3.5102639198303223
2026-04-07T10:24:38.117,radio://0/80/2M,mission,1,0,Reacquire Wall,0.5400744676589966,0,0,0,0.0,0,0,0.0,0.0,16461,9,0,2830,0.026816247031092644,-0.018684599548578262,0.19984042644500732,6.012808306810058e-12,1475,655,775,2692,2493,3.5102639198303223
2026-04-07T10:24:38.121,radio://0/80/2M,flow,1,0,Reacquire Wall,0.5400744676589966,0,0,0,0.0,0,0,0.0,0.0,16711,-7,-12,3006,0.14449816942214966,-0.0159528199583292,0.19999998807907104,8.06358478066708e-16,1475,655,775,2692,2493,3.5102639198303223
2026-04-07T10:24:38.122,radio://0/80/2M,range,1,0,Reacquire Wall,0.5400744676589966,0,0,0,0.0,0,0,0.0,0.0,16711,-7,-12,3006,0.14449816942214966,-0.0159528199583292,0.19999998807907104,8.06358478066708e-16,1440,631,797,2752,2399,3.4838709831237793
2026-04-07T10:24:38.367,radio://0/80/2M,mission,1,0,Reacquire Wall,0.5501025319099426,0,0,0,0.0,0,0,0.0,0.0,16711,-7,-12,3006,0.14449816942214966,-0.0159528199583292,0.19999998807907104,8.06358478066708e-16,1440,631,797,2752,2399,3.4838709831237793
2026-04-07T10:24:38.371,radio://0/80/2M,flow,1,0,Reacquire Wall,0.5501025319099426,0,0,0,0.0,0,0,0.0,0.0,16961,-1,-1,3006,0.25099751353263855,0.021389078348875046,0.19999998807907104,1.0813814865966986e-19,1440,631,797,2752,2399,3.4838709831237793
2026-04-07T10:24:38.372,radio://0/80/2M,range,1,0,Reacquire Wall,0.5501025319099426,0,0,0,0.0,0,0,0.0,0.0,16961,-1,-1,3006,0.25099751353263855,0.021389078348875046,0.19999998807907104,1.0813814865966986e-19,1392,622,809,2782,2389,3.4680352210998535
2026-04-07T10:24:38.618,radio://0/80/2M,mission,1,0,Reacquire Wall,0.5573140978813171,0,0,0,0.0,0,0,0.0,0.0,16961,-1,-1,3006,0.25099751353263855,0.021389078348875046,0.19999998807907104,1.0813814865966986e-19,1392,622,809,2782,2389,3.4680352210998535
2026-04-07T10:24:38.621,radio://0/80/2M,flow,1,0,Reacquire Wall,0.5573140978813171,0,0,0,0.0,0,0,0.0,0.0,17211,-7,0,3392,0.17933332920074463,0.009765530936419964,0.19999998807907104,1.4502063894175732e-23,1392,622,809,2782,2389,3.4680352210998535
2026-04-07T10:24:38.622,radio://0/80/2M,range,1,0,Reacquire Wall,0.5573140978813171,0,0,0,0.0,0,0,0.0,0.0,17211,-7,0,3392,0.17933332920074463,0.009765530936419964,0.19999998807907104,1.4502063894175732e-23,1307,613,838,2886,2367,3.446920871734619
