Time,uri,source,outer,mission,mission_name,shutter,human,human_fresh,human_stable,human_hold_s,human_confidence_pct,human_direction,human_max_temp_c,human_thermistor_c,flow_timestamp_ms,delta_x,delta_y,height_m,vel_x_mps,vel_y_mps,cmd_x_mps,cmd_y_mps,front_mm,left_mm,right_mm,back_mm,up_mm,vbat_v
2026-04-07T12:00:53.803,radio://0/80/2M,mission,0,0,Reacquire Wall,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0019734518136829138,0.0,0.0,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T12:00:53.804,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,14511,-1,-3,0.0019734518136829138,0.005249587818980217,0.0019668315071612597,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T12:00:53.806,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,14511,-1,-3,0.0019734518136829138,0.005249587818980217,0.0019668315071612597,0.0,0.0,314,652,260,309,2925,4.127859115600586
2026-04-07T12:00:54.054,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,14511,-1,-3,0.0026432073209434748,0.005249587818980217,0.0019668315071612597,0.0,0.0,314,652,260,309,2925,4.127859115600586
2026-04-07T12:00:54.055,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,14761,-5,-3,0.0026432073209434748,0.0069815851747989655,0.006923057604581118,0.0,0.0,314,652,260,309,2925,4.127859115600586
2026-04-07T12:00:54.056,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,14761,-5,-3,0.0026432073209434748,0.0069815851747989655,0.006923057604581118,0.0,0.0,319,649,260,312,2923,4.1331377029418945
2026-04-07T12:00:54.302,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,14761,-5,-3,0.0022974470630288124,0.0069815851747989655,0.006923057604581118,0.0,0.0,319,649,260,312,2923,4.1331377029418945
2026-04-07T12:00:54.304,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15011,-2,-4,0.0022974470630288124,0.006895891856402159,0.005030002444982529,0.0,0.0,319,649,260,312,2923,4.1331377029418945
2026-04-07T12:00:54.305,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15011,-2,-4,0.0022974470630288124,0.006895891856402159,0.005030002444982529,0.0,0.0,319,652,263,307,2918,4.122580528259277
2026-04-07T12:00:54.552,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15011,-2,-4,0.0028976011089980602,0.006895891856402159,0.005030002444982529,0.0,0.0,319,652,263,307,2918,4.122580528259277
2026-04-07T12:00:54.554,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15261,0,0,0.0028976011089980602,0.0033232918940484524,-0.0006192285800352693,0.0,0.0,319,652,263,307,2918,4.122580528259277
2026-04-07T12:00:54.555,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15261,0,0,0.0028976011089980602,0.0033232918940484524,-0.0006192285800352693,0.0,0.0,320,654,259,311,2920,4.1331377029418945
2026-04-07T12:00:54.802,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15261,0,0,0.0017836627084761858,0.0033232918940484524,-0.0006192285800352693,0.0,0.0,320,654,259,311,2920,4.1331377029418945
2026-04-07T12:00:54.804,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15511,0,0,0.0017836627084761858,0.0031268431339412928,0.0010680891573429108,0.0,0.0,320,654,259,311,2920,4.1331377029418945
2026-04-07T12:00:54.805,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15511,0,0,0.0017836627084761858,0.0031268431339412928,0.0010680891573429108,0.0,0.0,318,653,264,307,2916,4.127859115600586
2026-04-07T12:00:55.052,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15511,0,0,0.0018775237258523703,0.0031268431339412928,0.0010680891573429108,0.0,0.0,318,653,264,307,2916,4.127859115600586
2026-04-07T12:00:55.054,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15761,0,0,0.0018775237258523703,0.002330387942492962,0.0026998165994882584,0.0,0.0,318,653,264,307,2916,4.127859115600586
2026-04-07T12:00:55.055,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15761,0,0,0.0018775237258523703,0.002330387942492962,0.0026998165994882584,0.0,0.0,321,650,264,311,2920,4.1331377029418945
2026-04-07T12:00:55.301,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,15761,0,0,0.0016389108495786786,0.002330387942492962,0.0026998165994882584,0.0,0.0,321,650,264,311,2920,4.1331377029418945
2026-04-07T12:00:55.302,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16011,1,-1,0.0016389108495786786,0.003123208647593856,-0.000623089843429625,0.0,0.0,321,650,264,311,2920,4.1331377029418945
2026-04-07T12:00:55.304,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16011,1,-1,0.0016389108495786786,0.003123208647593856,-0.000623089843429625,0.0,0.0,320,650,260,308,2920,4.122580528259277
2026-04-07T12:00:55.552,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16011,1,-1,0.002101276768371463,0.003123208647593856,-0.000623089843429625,0.0,0.0,320,650,260,308,2920,4.122580528259277
2026-04-07T12:00:55.553,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16261,1,-1,0.002101276768371463,0.0034965528175234795,-0.00029458306380547583,0.0,0.0,320,650,260,308,2920,4.122580528259277
2026-04-07T12:00:55.554,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16261,1,-1,0.002101276768371463,0.0034965528175234795,-0.00029458306380547583,0.0,0.0,316,652,262,308,2919,4.1331377029418945
2026-04-07T12:00:55.801,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16261,1,-1,0.001425235066562891,0.0034965528175234795,-0.00029458306380547583,0.0,0.0,316,652,262,308,2919,4.1331377029418945
2026-04-07T12:00:55.802,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16511,2,0,0.001425235066562891,0.001811287016607821,-0.0010487537365406752,0.0,0.0,316,652,262,308,2919,4.1331377029418945
2026-04-07T12:00:55.803,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16511,2,0,0.001425235066562891,0.001811287016607821,-0.0010487537365406752,0.0,0.0,319,653,261,312,2911,4.122580528259277
2026-04-07T12:00:56.053,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16511,2,0,0.002524902578443289,0.001811287016607821,-0.0010487537365406752,0.0,0.0,319,653,261,312,2911,4.122580528259277
2026-04-07T12:00:56.054,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16761,-1,1,0.002524902578443289,0.0016934745945036411,-0.0012038701679557562,0.0,0.0,319,653,261,312,2911,4.122580528259277
2026-04-07T12:00:56.056,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16761,-1,1,0.002524902578443289,0.0016934745945036411,-0.0012038701679557562,0.0,0.0,322,651,262,309,2921,4.1331377029418945
2026-04-07T12:00:56.302,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,16761,-1,1,0.0010190086904913187,0.0016934745945036411,-0.0012038701679557562,0.0,0.0,322,651,262,309,2921,4.1331377029418945
2026-04-07T12:00:56.304,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,17011,2,0,0.0010190086904913187,0.0009405715391039848,-0.0010875563602894545,0.0,0.0,322,651,262,309,2921,4.1331377029418945
