Time,uri,source,outer,mission,mission_name,shutter,human,human_fresh,human_stable,human_hold_s,human_confidence_pct,human_direction,human_max_temp_c,human_thermistor_c,flow_timestamp_ms,delta_x,delta_y,height_m,vel_x_mps,vel_y_mps,cmd_x_mps,cmd_y_mps,front_mm,left_mm,right_mm,back_mm,up_mm,vbat_v
2026-04-07T11:37:45.614,radio://0/80/2M,mission,0,0,Reacquire Wall,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0019681942649185658,0.0,0.0,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T11:37:45.617,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,28672,-5,-2,0.0019681942649185658,9.003407467389479e-05,-0.0009838800178840756,0.0,0.0,32766,32766,32766,32766,32766,0.0
2026-04-07T11:37:45.618,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,28672,-5,-2,0.0019681942649185658,9.003407467389479e-05,-0.0009838800178840756,0.0,0.0,213,32766,270,254,2925,4.027565956115723
2026-04-07T11:37:45.864,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,28672,-5,-2,0.0013884551590308547,9.003407467389479e-05,-0.0009838800178840756,0.0,0.0,213,32766,270,254,2925,4.027565956115723
2026-04-07T11:37:45.867,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,28922,1,0,0.0013884551590308547,-0.0003291452012490481,-0.0014313668943941593,0.0,0.0,213,32766,270,254,2925,4.027565956115723
2026-04-07T11:37:45.868,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,28922,1,0,0.0013884551590308547,-0.0003291452012490481,-0.0014313668943941593,0.0,0.0,213,32766,269,249,2936,4.0170087814331055
2026-04-07T11:37:46.129,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,28922,1,0,0.0019332030788064003,-0.0003291452012490481,-0.0014313668943941593,0.0,0.0,213,32766,269,249,2936,4.0170087814331055
2026-04-07T11:37:46.130,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29172,8,-1,0.0019332030788064003,0.0002112873044097796,-0.00712136784568429,0.0,0.0,213,32766,269,249,2936,4.0170087814331055
2026-04-07T11:37:46.131,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29172,8,-1,0.0019332030788064003,0.0002112873044097796,-0.00712136784568429,0.0,0.0,211,32766,267,247,2932,4.027565956115723
2026-04-07T11:37:46.372,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29172,8,-1,0.0009430437348783016,0.0002112873044097796,-0.00712136784568429,0.0,0.0,211,32766,267,247,2932,4.027565956115723
2026-04-07T11:37:46.376,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29422,0,1,0.0009430437348783016,0.005605167243629694,0.00042019132524728775,0.0,0.0,211,32766,267,247,2932,4.027565956115723
2026-04-07T11:37:46.377,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29422,0,1,0.0009430437348783016,0.005605167243629694,0.00042019132524728775,0.0,0.0,211,32766,269,252,2933,4.022287368774414
2026-04-07T11:37:46.614,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29422,0,1,0.0004375613643787801,0.005605167243629694,0.00042019132524728775,0.0,0.0,211,32766,269,252,2933,4.022287368774414
2026-04-07T11:37:46.616,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29672,0,0,0.0004375613643787801,0.0032697964925318956,-0.0018333862535655499,0.0,0.0,211,32766,269,252,2933,4.022287368774414
2026-04-07T11:37:46.617,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29672,0,0,0.0004375613643787801,0.0032697964925318956,-0.0018333862535655499,0.0,0.0,211,32766,269,254,2928,4.027565956115723
2026-04-07T11:37:46.864,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29672,0,0,0.0014326272066682577,0.0032697964925318956,-0.0018333862535655499,0.0,0.0,211,32766,269,254,2928,4.027565956115723
2026-04-07T11:37:46.866,radio://0/80/2M,flow,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29922,2,-4,0.0014326272066682577,0.005365940276533365,-0.0033807652071118355,0.0,0.0,211,32766,269,254,2928,4.027565956115723
2026-04-07T11:37:46.868,radio://0/80/2M,range,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29922,2,-4,0.0014326272066682577,0.005365940276533365,-0.0033807652071118355,0.0,0.0,213,32766,270,250,2930,4.0170087814331055
2026-04-07T11:37:47.114,radio://0/80/2M,mission,0,0,Reacquire Wall,8191,0,0,0,0.0,0,0,0.0,0.0,29922,2,-4,0.0024748733267188072,0.005365940276533365,-0.0033807652071118355,0.0,0.0,213,32766,270,250,2930,4.0170087814331055
